"env_step","IPPO - Basic - Individual Rewards - 8 Agents - _step","IPPO - Basic - Individual Rewards - 8 Agents - _step__MIN","IPPO - Basic - Individual Rewards - 8 Agents - _step__MAX","IPPO - Basic - Individual Rewards - 8 Agents - individual_returns","IPPO - Basic - Individual Rewards - 8 Agents - individual_returns__MIN","IPPO - Basic - Individual Rewards - 8 Agents - individual_returns__MAX","IPPO - Basic - Individual Rewards - 1 Agents - _step","IPPO - Basic - Individual Rewards - 1 Agents - _step__MIN","IPPO - Basic - Individual Rewards - 1 Agents - _step__MAX","IPPO - Basic - Individual Rewards - 1 Agents - individual_returns","IPPO - Basic - Individual Rewards - 1 Agents - individual_returns__MIN","IPPO - Basic - Individual Rewards - 1 Agents - individual_returns__MAX","IPPO - Basic - Individual Rewards - 2 Agents - _step","IPPO - Basic - Individual Rewards - 2 Agents - _step__MIN","IPPO - Basic - Individual Rewards - 2 Agents - _step__MAX","IPPO - Basic - Individual Rewards - 2 Agents - individual_returns","IPPO - Basic - Individual Rewards - 2 Agents - individual_returns__MIN","IPPO - Basic - Individual Rewards - 2 Agents - individual_returns__MAX","IPPO - Basic - Individual Rewards - 4 Agents - _step","IPPO - Basic - Individual Rewards - 4 Agents - _step__MIN","IPPO - Basic - Individual Rewards - 4 Agents - _step__MAX","IPPO - Basic - Individual Rewards - 4 Agents - individual_returns","IPPO - Basic - Individual Rewards - 4 Agents - individual_returns__MIN","IPPO - Basic - Individual Rewards - 4 Agents - individual_returns__MAX"
"0","","","","","","","0","0","0","0.016666671261191368","0.016666671261191368","0.016666671261191368","","","","","","","","","","","",""
"51200","","","","","","","","","","","","","1","1","1","0.3343750238418579","0.3343750238418579","0.3343750238418579","1","1","1","0.37586212158203125","0.37586212158203125","0.37586212158203125"
"102400","2","2","2","0.4996064603328705","0.4996064603328705","0.4996064603328705","","","","","","","","","","","","","","","","","",""
"153600","","","","","","","3","3","3","1.174766182899475","1.174766182899475","1.174766182899475","","","","","","","","","","","",""
"204800","4","4","4","1.1588237285614014","1.1588237285614014","1.1588237285614014","","","","","","","","","","","","","4","4","4","1.3006725311279297","1.3006725311279297","1.3006725311279297"
"256000","5","5","5","1.16730797290802","1.16730797290802","1.16730797290802","","","","","","","5","5","5","1.7744183540344238","1.7744183540344238","1.7744183540344238","","","","","",""
"307200","6","6","6","1.2263890504837036","1.2263890504837036","1.2263890504837036","6","6","6","2.228788137435913","2.228788137435913","2.228788137435913","6","6","6","1.778571367263794","1.778571367263794","1.778571367263794","6","6","6","1.4204022884368896","1.4204022884368896","1.4204022884368896"
"358400","","","","","","","7","7","7","2.269810914993286","2.269810914993286","2.269810914993286","","","","","","","","","","","",""
"409600","","","","","","","8","8","8","2.3287577629089355","2.3287577629089355","2.3287577629089355","","","","","","","","","","","",""
"460800","","","","","","","9","9","9","2.662814140319824","2.662814140319824","2.662814140319824","","","","","","","","","","","",""
"512000","","","","","","","10","10","10","2.952380657196045","2.952380657196045","2.952380657196045","","","","","","","10","10","10","2.1725380420684814","2.1725380420684814","2.1725380420684814"
"563200","11","11","11","1.9585323333740234","1.9585323333740234","1.9585323333740234","11","11","11","3.1765024662017822","3.1765024662017822","3.1765024662017822","11","11","11","2.720320701599121","2.720320701599121","2.720320701599121","11","11","11","2.416325569152832","2.416325569152832","2.416325569152832"
"665600","","","","","","","","","","","","","","","","","","","13","13","13","2.707672357559204","2.707672357559204","2.707672357559204"
"768000","","","","","","","","","","","","","15","15","15","3.339582920074463","3.339582920074463","3.339582920074463","15","15","15","2.852761745452881","2.852761745452881","2.852761745452881"
"819200","16","16","16","2.736645221710205","2.736645221710205","2.736645221710205","16","16","16","3.8741931915283203","3.8741931915283203","3.8741931915283203","","","","","","","16","16","16","2.979260206222534","2.979260206222534","2.979260206222534"
"870400","17","17","17","2.8102855682373047","2.8102855682373047","2.8102855682373047","17","17","17","4.055055618286133","4.055055618286133","4.055055618286133","17","17","17","3.573117733001709","3.573117733001709","3.573117733001709","","","","","",""
"921600","18","18","18","2.9389562606811523","2.9389562606811523","2.9389562606811523","18","18","18","3.993257999420166","3.993257999420166","3.993257999420166","18","18","18","3.9381494522094727","3.9381494522094727","3.9381494522094727","18","18","18","3.1701743602752686","3.1701743602752686","3.1701743602752686"
"972800","","","","","","","","","","","","","19","19","19","3.773409605026245","3.773409605026245","3.773409605026245","19","19","19","3.3441851139068604","3.3441851139068604","3.3441851139068604"
"1075200","","","","","","","","","","","","","21","21","21","4.084042072296143","4.084042072296143","4.084042072296143","21","21","21","3.479628562927246","3.479628562927246","3.479628562927246"
"1126400","","","","","","","","","","","","","22","22","22","4.148570537567139","4.148570537567139","4.148570537567139","","","","","",""
"1177600","","","","","","","23","23","23","4.443558692932129","4.443558692932129","4.443558692932129","23","23","23","4.111110687255859","4.111110687255859","4.111110687255859","23","23","23","3.6957132816314697","3.6957132816314697","3.6957132816314697"
"1228800","24","24","24","3.3537113666534424","3.3537113666534424","3.3537113666534424","24","24","24","4.6434783935546875","4.6434783935546875","4.6434783935546875","","","","","","","","","","","",""
"1280000","25","25","25","3.3485944271087646","3.3485944271087646","3.3485944271087646","","","","","","","25","25","25","4.363736152648926","4.363736152648926","4.363736152648926","","","","","",""
"1331200","26","26","26","3.4535021781921387","3.4535021781921387","3.4535021781921387","26","26","26","4.509836196899414","4.509836196899414","4.509836196899414","26","26","26","4.3545451164245605","4.3545451164245605","4.3545451164245605","26","26","26","3.969426155090332","3.969426155090332","3.969426155090332"
"1382400","27","27","27","3.500305414199829","3.500305414199829","3.500305414199829","","","","","","","27","27","27","4.6398773193359375","4.6398773193359375","4.6398773193359375","27","27","27","3.770587205886841","3.770587205886841","3.770587205886841"
"1433600","28","28","28","3.51387095451355","3.51387095451355","3.51387095451355","28","28","28","4.456250190734863","4.456250190734863","4.456250190734863","28","28","28","4.504761695861816","4.504761695861816","4.504761695861816","28","28","28","3.9385409355163574","3.9385409355163574","3.9385409355163574"
"1484800","29","29","29","3.5089662075042725","3.5089662075042725","3.5089662075042725","29","29","29","4.650264739990234","4.650264739990234","4.650264739990234","29","29","29","4.385257244110107","4.385257244110107","4.385257244110107","29","29","29","3.957594156265259","3.957594156265259","3.957594156265259"
"1536000","30","30","30","3.665663480758667","3.665663480758667","3.665663480758667","30","30","30","4.684269905090332","4.684269905090332","4.684269905090332","","","","","","","30","30","30","4.0186381340026855","4.0186381340026855","4.0186381340026855"
"1587200","","","","","","","","","","","","","31","31","31","4.66579008102417","4.66579008102417","4.66579008102417","31","31","31","4.030396938323975","4.030396938323975","4.030396938323975"
"1638400","","","","","","","32","32","32","4.676687240600586","4.676687240600586","4.676687240600586","","","","","","","32","32","32","4.1544108390808105","4.1544108390808105","4.1544108390808105"
"1689600","","","","","","","33","33","33","4.700000762939453","4.700000762939453","4.700000762939453","","","","","","","33","33","33","4.217815399169922","4.217815399169922","4.217815399169922"
"1740800","","","","","","","","","","","","","34","34","34","4.877202987670898","4.877202987670898","4.877202987670898","","","","","",""
"1792000","35","35","35","3.987152099609375","3.987152099609375","3.987152099609375","35","35","35","4.883626461029053","4.883626461029053","4.883626461029053","","","","","","","35","35","35","4.195678234100342","4.195678234100342","4.195678234100342"
"1843200","","","","","","","","","","","","","36","36","36","5.047060489654541","5.047060489654541","5.047060489654541","36","36","36","4.305800437927246","4.305800437927246","4.305800437927246"
"1894400","","","","","","","","","","","","","37","37","37","5.191717147827148","5.191717147827148","5.191717147827148","","","","","",""
"1945600","38","38","38","4.214456558227539","4.214456558227539","4.214456558227539","38","38","38","5.167485237121582","5.167485237121582","5.167485237121582","38","38","38","5.1933746337890625","5.1933746337890625","5.1933746337890625","38","38","38","4.548051834106445","4.548051834106445","4.548051834106445"
"1996800","39","39","39","4.405463218688965","4.405463218688965","4.405463218688965","","","","","","","","","","","","","","","","","",""
"2048000","","","","","","","","","","","","","40","40","40","5.289875030517578","5.289875030517578","5.289875030517578","40","40","40","4.5911760330200195","4.5911760330200195","4.5911760330200195"
"2099200","41","41","41","4.557191371917725","4.557191371917725","4.557191371917725","","","","","","","41","41","41","5.354190826416016","5.354190826416016","5.354190826416016","41","41","41","4.73344612121582","4.73344612121582","4.73344612121582"
"2150400","42","42","42","4.613621711730957","4.613621711730957","4.613621711730957","42","42","42","5.0400004386901855","5.0400004386901855","5.0400004386901855","42","42","42","5.63594913482666","5.63594913482666","5.63594913482666","42","42","42","4.870061874389648","4.870061874389648","4.870061874389648"
"2201600","43","43","43","4.726602554321289","4.726602554321289","4.726602554321289","","","","","","","43","43","43","5.493618965148926","5.493618965148926","5.493618965148926","","","","","",""
"2252800","44","44","44","4.853955268859863","4.853955268859863","4.853955268859863","44","44","44","5.186957359313965","5.186957359313965","5.186957359313965","44","44","44","5.692816257476807","5.692816257476807","5.692816257476807","","","","","",""
"2304000","","","","","","","45","45","45","5.280001163482666","5.280001163482666","5.280001163482666","","","","","","","","","","","",""
"2355200","","","","","","","46","46","46","5.341135501861572","5.341135501861572","5.341135501861572","","","","","","","46","46","46","5.052703380584717","5.052703380584717","5.052703380584717"
"2406400","","","","","","","47","47","47","5.692594051361084","5.692594051361084","5.692594051361084","","","","","","","47","47","47","5.097041606903076","5.097041606903076","5.097041606903076"
"2457600","48","48","48","5.0463032722473145","5.0463032722473145","5.0463032722473145","","","","","","","48","48","48","6.0642876625061035","6.0642876625061035","6.0642876625061035","48","48","48","5.1149702072143555","5.1149702072143555","5.1149702072143555"
"2560000","50","50","50","5.181980609893799","5.181980609893799","5.181980609893799","","","","","","","50","50","50","6.194773197174072","6.194773197174072","6.194773197174072","","","","","",""
"2611200","51","51","51","5.2220587730407715","5.2220587730407715","5.2220587730407715","51","51","51","5.76666784286499","5.76666784286499","5.76666784286499","","","","","","","51","51","51","5.307812690734863","5.307812690734863","5.307812690734863"
"2662400","","","","","","","","","","","","","52","52","52","6.159008026123047","6.159008026123047","6.159008026123047","","","","","",""
"2713600","53","53","53","5.375662803649902","5.375662803649902","5.375662803649902","53","53","53","5.897298812866211","5.897298812866211","5.897298812866211","53","53","53","6.072224140167236","6.072224140167236","6.072224140167236","53","53","53","5.453225612640381","5.453225612640381","5.453225612640381"
"2764800","54","54","54","5.4817118644714355","5.4817118644714355","5.4817118644714355","54","54","54","5.779489040374756","5.779489040374756","5.779489040374756","54","54","54","6.3680739402771","6.3680739402771","6.3680739402771","","","","","",""
"2816000","55","55","55","5.462745666503906","5.462745666503906","5.462745666503906","55","55","55","5.792309284210205","5.792309284210205","5.792309284210205","","","","","","","","","","","",""
"2867200","","","","","","","56","56","56","6.214095115661621","6.214095115661621","6.214095115661621","","","","","","","56","56","56","5.596774578094482","5.596774578094482","5.596774578094482"
"2918400","57","57","57","5.421428680419922","5.421428680419922","5.421428680419922","57","57","57","6.085816860198975","6.085816860198975","6.085816860198975","","","","","","","","","","","",""
"2969600","58","58","58","5.706752777099609","5.706752777099609","5.706752777099609","","","","","","","58","58","58","6.695239543914795","6.695239543914795","6.695239543914795","58","58","58","5.669697284698486","5.669697284698486","5.669697284698486"
"3020800","59","59","59","5.624691963195801","5.624691963195801","5.624691963195801","59","59","59","6.366189002990723","6.366189002990723","6.366189002990723","59","59","59","6.44395112991333","6.44395112991333","6.44395112991333","59","59","59","5.650296211242676","5.650296211242676","5.650296211242676"
"3072000","60","60","60","5.7407355308532715","5.7407355308532715","5.7407355308532715","60","60","60","6.688608646392822","6.688608646392822","6.688608646392822","60","60","60","6.670065879821777","6.670065879821777","6.670065879821777","","","","","",""
"3123200","61","61","61","5.846529006958008","5.846529006958008","5.846529006958008","61","61","61","6.585294723510742","6.585294723510742","6.585294723510742","","","","","","","61","61","61","5.876316070556641","5.876316070556641","5.876316070556641"
"3174400","62","62","62","5.833109378814697","5.833109378814697","5.833109378814697","62","62","62","6.785899639129639","6.785899639129639","6.785899639129639","","","","","","","62","62","62","5.853571891784668","5.853571891784668","5.853571891784668"
"3225600","","","","","","","63","63","63","6.607693672180176","6.607693672180176","6.607693672180176","63","63","63","7.010074138641357","7.010074138641357","7.010074138641357","","","","","",""
"3276800","64","64","64","5.911152362823486","5.911152362823486","5.911152362823486","64","64","64","6.957143306732178","6.957143306732178","6.957143306732178","","","","","","","64","64","64","6.436891078948975","6.436891078948975","6.436891078948975"
"3328000","65","65","65","6.009247303009033","6.009247303009033","6.009247303009033","65","65","65","6.820001602172852","6.820001602172852","6.820001602172852","","","","","","","65","65","65","6.47671365737915","6.47671365737915","6.47671365737915"
"3379200","","","","","","","66","66","66","6.809877872467041","6.809877872467041","6.809877872467041","66","66","66","7.2451629638671875","7.2451629638671875","7.2451629638671875","","","","","",""
"3430400","67","67","67","6.183060646057129","6.183060646057129","6.183060646057129","","","","","","","67","67","67","7.338855743408203","7.338855743408203","7.338855743408203","","","","","",""
"3481600","68","68","68","6.293863773345947","6.293863773345947","6.293863773345947","68","68","68","6.8346943855285645","6.8346943855285645","6.8346943855285645","68","68","68","7.116027355194092","7.116027355194092","7.116027355194092","68","68","68","6.726563453674316","6.726563453674316","6.726563453674316"
"3532800","","","","","","","69","69","69","7.284714698791504","7.284714698791504","7.284714698791504","69","69","69","7.404488563537598","7.404488563537598","7.404488563537598","","","","","",""
"3584000","70","70","70","6.401216506958008","6.401216506958008","6.401216506958008","70","70","70","7.285630226135254","7.285630226135254","7.285630226135254","70","70","70","7.365153789520264","7.365153789520264","7.365153789520264","70","70","70","6.912951469421387","6.912951469421387","6.912951469421387"
"3635200","71","71","71","6.449075698852539","6.449075698852539","6.449075698852539","71","71","71","7.100000381469727","7.100000381469727","7.100000381469727","","","","","","","","","","","",""
"3686400","","","","","","","72","72","72","7.212427139282227","7.212427139282227","7.212427139282227","","","","","","","","","","","",""
"3737600","73","73","73","6.648744583129883","6.648744583129883","6.648744583129883","","","","","","","73","73","73","7.633951663970947","7.633951663970947","7.633951663970947","","","","","",""
"3788800","74","74","74","6.883917808532715","6.883917808532715","6.883917808532715","","","","","","","74","74","74","7.573858261108398","7.573858261108398","7.573858261108398","","","","","",""
"3840000","75","75","75","6.807709217071533","6.807709217071533","6.807709217071533","75","75","75","7.577707767486572","7.577707767486572","7.577707767486572","75","75","75","7.530557632446289","7.530557632446289","7.530557632446289","","","","","",""
"3891200","","","","","","","","","","","","","76","76","76","7.4669084548950195","7.4669084548950195","7.4669084548950195","76","76","76","7.254257678985596","7.254257678985596","7.254257678985596"
"3942400","","","","","","","77","77","77","7.6259260177612305","7.6259260177612305","7.6259260177612305","77","77","77","7.724089622497559","7.724089622497559","7.724089622497559","","","","","",""
"3993600","78","78","78","6.956251621246338","6.956251621246338","6.956251621246338","78","78","78","7.865957736968994","7.865957736968994","7.865957736968994","","","","","","","","","","","",""
"4044800","79","79","79","7.19666862487793","7.19666862487793","7.19666862487793","79","79","79","7.584663391113281","7.584663391113281","7.584663391113281","","","","","","","","","","","",""
"4096000","80","80","80","7.0894389152526855","7.0894389152526855","7.0894389152526855","","","","","","","80","80","80","7.824028491973877","7.824028491973877","7.824028491973877","","","","","",""
"4147200","","","","","","","81","81","81","7.95416784286499","7.95416784286499","7.95416784286499","81","81","81","8.117732048034668","8.117732048034668","8.117732048034668","81","81","81","7.401666641235352","7.401666641235352","7.401666641235352"
"4198400","82","82","82","7.56875467300415","7.56875467300415","7.56875467300415","","","","","","","82","82","82","8.050002098083496","8.050002098083496","8.050002098083496","82","82","82","7.5542497634887695","7.5542497634887695","7.5542497634887695"
"4249600","","","","","","","83","83","83","7.766666412353516","7.766666412353516","7.766666412353516","","","","","","","83","83","83","7.6862688064575195","7.6862688064575195","7.6862688064575195"
"4300800","84","84","84","7.603573322296143","7.603573322296143","7.603573322296143","84","84","84","7.707954406738281","7.707954406738281","7.707954406738281","84","84","84","8.228789329528809","8.228789329528809","8.228789329528809","","","","","",""
"4352000","85","85","85","7.884632110595703","7.884632110595703","7.884632110595703","","","","","","","85","85","85","8.154056549072266","8.154056549072266","8.154056549072266","85","85","85","7.6971235275268555","7.6971235275268555","7.6971235275268555"
"4403200","86","86","86","7.909661769866943","7.909661769866943","7.909661769866943","","","","","","","","","","","","","","","","","",""
"4454400","","","","","","","87","87","87","7.725000858306885","7.725000858306885","7.725000858306885","87","87","87","8.43443775177002","8.43443775177002","8.43443775177002","","","","","",""
"4505600","","","","","","","88","88","88","8.378410339355469","8.378410339355469","8.378410339355469","88","88","88","8.593152046203613","8.593152046203613","8.593152046203613","","","","","",""
"4556800","89","89","89","7.885716915130615","7.885716915130615","7.885716915130615","89","89","89","8.148193359375","8.148193359375","8.148193359375","","","","","","","89","89","89","8.01166820526123","8.01166820526123","8.01166820526123"
"4608000","","","","","","","90","90","90","8.712244033813477","8.712244033813477","8.712244033813477","90","90","90","8.64201831817627","8.64201831817627","8.64201831817627","","","","","",""
"4659200","91","91","91","8.03000259399414","8.03000259399414","8.03000259399414","91","91","91","8.723288536071777","8.723288536071777","8.723288536071777","","","","","","","91","91","91","7.95862340927124","7.95862340927124","7.95862340927124"
"4710400","92","92","92","8.021982192993164","8.021982192993164","8.021982192993164","92","92","92","8.572224617004395","8.572224617004395","8.572224617004395","","","","","","","","","","","",""
"4761600","","","","","","","","","","","","","93","93","93","8.982353210449219","8.982353210449219","8.982353210449219","93","93","93","8.200322151184082","8.200322151184082","8.200322151184082"
"4812800","94","94","94","8.203996658325195","8.203996658325195","8.203996658325195","","","","","","","94","94","94","8.93587875366211","8.93587875366211","8.93587875366211","94","94","94","8.175370216369629","8.175370216369629","8.175370216369629"
"4864000","","","","","","","95","95","95","8.709272384643555","8.709272384643555","8.709272384643555","95","95","95","9.135435104370117","9.135435104370117","9.135435104370117","","","","","",""
"4915200","96","96","96","8.482521057128906","8.482521057128906","8.482521057128906","","","","","","","96","96","96","9.078125953674316","9.078125953674316","9.078125953674316","","","","","",""
"4966400","97","97","97","8.56786060333252","8.56786060333252","8.56786060333252","","","","","","","","","","","","","","","","","",""
"5017600","","","","","","","","","","","","","98","98","98","9.069512367248535","9.069512367248535","9.069512367248535","98","98","98","8.73715591430664","8.73715591430664","8.73715591430664"
"5068800","","","","","","","","","","","","","99","99","99","9.216197967529297","9.216197967529297","9.216197967529297","","","","","",""
"5120000","100","100","100","8.867719650268555","8.867719650268555","8.867719650268555","","","","","","","","","","","","","100","100","100","8.86712646484375","8.86712646484375","8.86712646484375"
"5171200","101","101","101","8.806734085083008","8.806734085083008","8.806734085083008","101","101","101","9.152632713317871","9.152632713317871","9.152632713317871","101","101","101","9.035374641418457","9.035374641418457","9.035374641418457","","","","","",""
"5273600","","","","","","","","","","","","","","","","","","","103","103","103","8.848150253295898","8.848150253295898","8.848150253295898"
"5324800","104","104","104","8.877416610717773","8.877416610717773","8.877416610717773","","","","","","","104","104","104","9.27939224243164","9.27939224243164","9.27939224243164","104","104","104","8.646100997924805","8.646100997924805","8.646100997924805"
"5376000","105","105","105","9.030274391174316","9.030274391174316","9.030274391174316","","","","","","","","","","","","","","","","","",""
"5427200","","","","","","","106","106","106","9.45465087890625","9.45465087890625","9.45465087890625","","","","","","","106","106","106","9.159442901611328","9.159442901611328","9.159442901611328"
"5478400","","","","","","","","","","","","","","","","","","","107","107","107","9.048277854919434","9.048277854919434","9.048277854919434"
"5529600","","","","","","","","","","","","","108","108","108","9.522481918334961","9.522481918334961","9.522481918334961","","","","","",""
"5580800","","","","","","","109","109","109","9.70447826385498","9.70447826385498","9.70447826385498","109","109","109","9.365735054016113","9.365735054016113","9.365735054016113","109","109","109","9.273914337158203","9.273914337158203","9.273914337158203"
"5632000","","","","","","","110","110","110","9.461702346801758","9.461702346801758","9.461702346801758","","","","","","","110","110","110","9.157408714294434","9.157408714294434","9.157408714294434"
"5683200","111","111","111","9.782381057739258","9.782381057739258","9.782381057739258","","","","","","","","","","","","","111","111","111","8.993619918823242","8.993619918823242","8.993619918823242"
"5734400","","","","","","","","","","","","","112","112","112","9.759237289428711","9.759237289428711","9.759237289428711","112","112","112","9.135716438293457","9.135716438293457","9.135716438293457"
"5785600","113","113","113","9.831645965576172","9.831645965576172","9.831645965576172","113","113","113","9.877070426940918","9.877070426940918","9.877070426940918","","","","","","","113","113","113","9.426016807556152","9.426016807556152","9.426016807556152"
"5836800","","","","","","","","","","","","","","","","","","","114","114","114","9.696157455444336","9.696157455444336","9.696157455444336"
"5888000","","","","","","","115","115","115","9.590446472167969","9.590446472167969","9.590446472167969","","","","","","","","","","","",""
"5939200","","","","","","","116","116","116","9.277914047241211","9.277914047241211","9.277914047241211","116","116","116","9.83571720123291","9.83571720123291","9.83571720123291","","","","","",""
"5990400","117","117","117","9.9596529006958","9.9596529006958","9.9596529006958","117","117","117","9.735136032104492","9.735136032104492","9.735136032104492","117","117","117","9.873586654663086","9.873586654663086","9.873586654663086","","","","","",""
"6041600","118","118","118","9.988892555236816","9.988892555236816","9.988892555236816","","","","","","","","","","","","","","","","","",""
"6092800","119","119","119","10.29783821105957","10.29783821105957","10.29783821105957","119","119","119","9.844680786132812","9.844680786132812","9.844680786132812","119","119","119","10.198541641235352","10.198541641235352","10.198541641235352","119","119","119","9.415071487426758","9.415071487426758","9.415071487426758"
"6144000","120","120","120","10.170316696166992","10.170316696166992","10.170316696166992","120","120","120","9.83648681640625","9.83648681640625","9.83648681640625","120","120","120","10.193986892700195","10.193986892700195","10.193986892700195","120","120","120","9.406822204589844","9.406822204589844","9.406822204589844"
"6195200","121","121","121","10.300003051757812","10.300003051757812","10.300003051757812","121","121","121","9.982353210449219","9.982353210449219","9.982353210449219","","","","","","","","","","","",""
"6246400","122","122","122","10.301046371459961","10.301046371459961","10.301046371459961","122","122","122","9.830995559692383","9.830995559692383","9.830995559692383","122","122","122","10.663910865783691","10.663910865783691","10.663910865783691","","","","","",""
"6297600","","","","","","","123","123","123","10.040398597717285","10.040398597717285","10.040398597717285","","","","","","","","","","","",""
